sasdate,Actual inflation,OLS_Predicted,SVR_Predicted,XGBoost_Predicted,Randomforest_Predicted
02-14,0.1100173207700727,0.07187256876292963,0.11071599525160167,0.3072195,0.19048220268848864
03-14,0.2039973140249174,0.1832082716124287,0.18354167627200688,0.28209734,0.1675163451554974
04-14,0.1862450167562812,0.18076431302578805,0.20216151595486204,0.3128651,0.20880962459434532
05-14,0.1901197481740446,0.20278901277542807,0.2180222814426833,0.3133933,0.21689899178792918
06-14,0.1320260278796503,0.12334908626444423,0.13974881533365874,0.30630115,0.17972520324415198
07-14,0.1124852402750953,0.20314758054449183,0.22204585146601036,0.30890432,0.2106178009802094
08-14,-0.0160014148960385,0.24360295053015876,0.24767443837222142,0.3016708,0.17840583515160552
09-14,0.0071588442287051,0.06714921455704823,0.08399805293380172,0.28123146,0.04691587709511584
10-14,-0.0197933490782453,0.2127740120222095,0.2120744768836817,0.29911473,0.18450118589288345
11-14,-0.1884434584542127,0.03290184656338463,0.06528759512608692,0.26479083,0.1215046913961511
12-14,-0.3089376658124365,0.21676414195834362,0.20615430502840532,0.23728517,0.10537878309705741
01-15,-0.639069349248711,-0.06873427716385194,0.018528875148417417,0.23997241,0.08904484406383982
02-15,0.2531436888498106,-0.1335502865814692,-0.09120837050791228,0.21918184,0.012989769003705732
03-15,0.2690329596581442,0.39719841282245016,0.4432266653514215,0.36976942,0.2958685143840917
04-15,0.1041935892382106,0.19555350910082592,0.22215776273533341,0.289883,0.06338425107951193
05-15,0.3292319704053525,0.02020607453158141,0.09047606286604028,0.27018586,0.12847922309536772
06-15,0.2764097171715107,0.3518005521369159,0.3670566739195631,0.41632178,0.3004144398618212
07-15,0.1585062903994405,0.1421735289971606,0.20073802412488145,0.27028129,0.10701182337748127
08-15,-0.0004201089343069,-0.12622112341241706,-0.00770056588877166,0.28304872,0.032339736441860945
09-15,-0.2250117135272233,0.10873332086214084,0.13891522869958128,0.24972835,0.09960020641085805
10-15,0.098899280204634,-0.10459736175867959,0.045220769348145035,0.2415363,0.07427795520466374
11-15,0.1193904503351106,0.2662849611912821,0.28229051129684496,0.347731,0.2564916997710684
12-15,-0.1076132249516526,0.05999009183396414,0.161410211294371,0.3117341,0.2104573284403921
01-16,-0.0458548680452253,-0.09104981037628146,0.01733032518611763,0.2884281,0.09783475321285336
02-16,-0.1330560126236335,0.02269773549917073,0.06045962642306807,0.24614134,0.08121986219367579
03-16,0.3129893008927631,0.0544905847824077,0.18449001467313803,0.3158371,0.17931740474648733
04-16,0.3823326923209968,0.3194204259536327,0.3215994348310712,0.37414175,0.20348363502013797
05-16,0.2361305791154677,0.2409867174732125,0.2782790992411611,0.35475948,0.24674783619403626
06-16,0.2772111434034663,0.07896919613703071,0.13327072241604643,0.27709925,0.13889651705066677
07-16,-0.0503827643313137,0.11196609590642616,0.14911669122194599,0.30527148,0.1706826436273563
08-16,0.1847514080185242,-0.050943293408827944,0.04446247585653795,0.24963795,0.02063366808964526
